radius_m,t0_s,method,recovered,recovered_snr,offset_ms,chi2_reduced,n_local_candidates
50,1765924787.4215963,highpass_despike,True,7.457431525776361,0.19407272338867188,1.0831243181606198,2
50,1765924692.200151,raw,True,5.315976477830479,-2.1686553955078125,0.45171533517120177,32
50,1765924692.200151,highpass,True,6.062951390453056,-2.1686553955078125,0.5726430905407616,2
50,1765924692.200151,dc_fft_swap,False,,,,4
50,1765924692.200151,dc_detrend,False,,,,31
50,1765924692.200151,dc_despike,True,5.649729571395842,-2.1686553955078125,0.5102159772948263,32
50,1765924692.200151,highpass_despike,True,6.319317498835742,-2.1686553955078125,0.6220942745055443,2
50,1765924481.2277117,raw,True,15.068537884192843,-5.841970443725586,1.6979855131957646,28
50,1765924481.2277117,highpass,False,,,,3
50,1765924481.2277117,dc_fft_swap,False,,,,3
50,1765924481.2277117,dc_detrend,True,14.169033757424385,-5.841970443725586,1.501316376620554,29
50,1765924481.2277117,dc_despike,True,16.014586301699897,-5.841970443725586,1.9178878169351685,25
50,1765924481.2277117,highpass_despike,False,,,,2
50,1765924795.3444257,raw,True,5.734873326888555,-5.362272262573242,1.2083563385078726,32
50,1765924795.3444257,highpass,False,,,,2
50,1765924795.3444257,dc_fft_swap,False,,,,4
50,1765924795.3444257,dc_detrend,True,8.409314248658172,-5.362272262573242,0.9590986325767945,35
50,1765924795.3444257,dc_despike,True,6.094926032546065,-5.362272262573242,1.364847863618639,23
50,1765924795.3444257,highpass_despike,False,,,,1
50,1765924642.997248,raw,True,6.914126042916152,12.034177780151367,0.780995821821962,33
50,1765924642.997248,highpass,False,,,,3
50,1765924642.997248,dc_fft_swap,False,,,,4
50,1765924642.997248,dc_detrend,False,,,,34
50,1765924642.997248,dc_despike,True,7.348215803423495,12.034177780151367,0.8821408428452939,35
50,1765924642.997248,highpass_despike,False,,,,3
50,1765924676.8336046,raw,True,7.85944498491249,4.836559295654297,0.647468315350697,33
50,1765924676.8336046,highpass,True,6.448082086671727,1.6908645629882812,1.0118091709140198,2
50,1765924676.8336046,dc_fft_swap,False,,,,4
50,1765924676.8336046,dc_detrend,True,7.39028180183714,4.836559295654297,0.5724753112583563,35
50,1765924676.8336046,dc_despike,True,8.352884729870098,4.836559295654297,0.731320487844158,33
50,1765924676.8336046,highpass_despike,True,6.720733078677885,1.6908645629882812,1.0991849941355558,2
50,1765924470.422168,raw,True,7.080992677746783,3.0388832092285156,0.5301301609800522,23
50,1765924470.422168,highpass,True,6.153021879330238,4.0874481201171875,0.8991090537704567,2
50,1765924470.422168,dc_fft_swap,False,,,,3
50,1765924470.422168,dc_detrend,True,6.658298572704764,3.0388832092285156,0.4687278461651281,20
50,1765924470.422168,dc_despike,True,7.525558830657258,3.0388832092285156,0.5987861317025857,24
50,1765924470.422168,highpass_despike,True,6.413196532302269,4.0874481201171875,0.9767525422833766,2
50,1765924742.1133084,raw,True,17.390524303942314,-1.0113716125488281,0.5879110617383168,23
50,1765924742.1133084,highpass,True,7.805667664397954,1.0857582092285156,0.5676608316979482,1
50,1765924742.1133084,dc_fft_swap,True,15.011578308804268,10.523080825805664,0.3029765863893607,4
50,1765924742.1133084,dc_detrend,True,16.352411084313164,-1.0113716125488281,0.5198162753007836,23
50,1765924742.1133084,dc_despike,True,18.482354057021492,-1.0113716125488281,0.6640501076049758,23
50,1765924742.1133084,highpass_despike,True,8.135722865830262,1.0857582092285156,0.6166817675681221,1
50,1765924764.6363142,raw,True,8.03894704234662,-4.79888916015625,0.5618646951031148,19
50,1765924764.6363142,highpass,True,7.592878619079164,-3.750324249267578,0.6971236565051016,1
50,1765924764.6363142,dc_fft_swap,True,48.72263467240633,-238.10696601867676,0.5907821449770474,4
50,1765924764.6363142,dc_detrend,True,7.559068629786745,-4.79888916015625,0.4967867285366931,19
50,1765924764.6363142,dc_despike,True,8.543656469783043,-4.79888916015625,0.6346305343183565,20
50,1765924764.6363142,highpass_despike,True,7.913936238980347,-3.750324249267578,0.7573244879714893,1
50,1765924505.1135538,raw,False,,,,30
